"Year" "MaxD"
"1" 1864 2.150183114
"2" 1865 11.29369288
"3" 1866 16.753039315
"4" 1867 21.12317825
"5" 1868 22.649682817
"6" 1869 26.004662804
"7" 1870 26.910915164
"8" 1871 28.231386353
"9" 1872 28.617061804
"10" 1873 28.617061804
"11" 1874 28.695782635
"12" 1875 29.06220263
"13" 1876 29.21737895
"14" 1877 33.534112314
"15" 1878 44.687551852
"16" 1879 45.772653414
"17" 1880 50.337074234
"18" 1881 50.691034816
"19" 1882 51.551866955
"20" 1883 54.712480108
"21" 1884 59.789690702
"22" 1885 59.808946158
"23" 1886 60.647124817
"24" 1887 64.600156604
"25" 1888 87.378228013
"26" 1889 87.562570683
"27" 1890 105.328843409
"28" 1891 108.393575717
"29" 1892 108.393575717
"30" 1893 110.755342308
"31" 1894 115.976685654
"32" 1895 116.13441049
"33" 1896 118.511892932
"34" 1897 118.527184029
"35" 1898 118.572632569
"36" 1899 119.192828144
"37" 1900 127.732339574
"38" 1901 130.024305138
"39" 1902 130.225354749
"40" 1903 168.582788817
"41" 1904 173.518981516
"42" 1905 204.18527688
"43" 1906 204.202889959
"44" 1907 204.697868437
"45" 1908 209.669740364
"46" 1909 239.443488718
"47" 1910 242.202115913
"48" 1911 242.221371369
"49" 1912 242.623753759
"50" 1913 243.464764104
"51" 1914 244.722598431
"52" 1915 251.131550321
"53" 1916 255.479318948
"54" 1917 255.792503272
"55" 1918 264.781403057
"56" 1919 264.834072392
"57" 1920 265.053244785
"58" 1921 265.163114149
"59" 1922 268.74774376
"60" 1923 276.789728196
"61" 1924 285.345946564
"62" 1925 286.631814568
"63" 1926 287.018622692
"64" 1927 292.505861227
"65" 1928 292.564193932
"66" 1929 293.752368815
"67" 1930 296.467388067
"68" 1931 301.159489547
"69" 1932 301.268509407
"70" 1933 301.27530545
"71" 1934 301.329956965
"72" 1935 304.03534849
"73" 1936 368.573831004
"74" 1937 369.148946162
"75" 1938 370.520019558
"76" 1939 370.973542171
"77" 1940 371.734557425
"78" 1941 372.056236801
"79" 1942 372.088234837
"80" 1943 372.986162039
"81" 1944 374.116570557
"82" 1945 374.416445964
"83" 1946 374.69610314
"84" 1947 375.537679823
"85" 1948 377.043739625
"86" 1949 381.289510959
"87" 1950 387.05935163
"88" 1951 389.345087489
"89" 1952 390.103809075
"90" 1953 391.431019682
"91" 1954 395.245298924
"92" 1955 397.320357448
"93" 1956 398.423015461
"94" 1957 402.410593795
"95" 1958 403.764762033
"96" 1959 407.693101524
"97" 1960 410.400928297
"98" 1961 413.601298306
"99" 1962 421.434445998
"100" 1963 427.053357868
"101" 1964 427.752217644
"102" 1965 429.309077873
"103" 1966 434.989663838
"104" 1967 442.654864321
"105" 1968 453.308794682
"106" 1969 454.225694168
"107" 1970 455.081146106
"108" 1971 456.299903184
"109" 1972 458.168333671
"110" 1973 462.634183556
"111" 1974 463.579683064
"112" 1975 466.848579842
"113" 1976 469.550856515
"114" 1977 480.153759919
"115" 1978 481.178320055
"116" 1979 482.280694892
"117" 1980 483.21401816
"118" 1981 484.166030542
"119" 1982 484.416634637
"120" 1983 485.050648839
"121" 1984 486.125839508
"122" 1985 486.772313119
"123" 1986 487.730272038
"124" 1987 490.366287287
"125" 1988 492.773502421
"126" 1989 493.70314449
"127" 1990 496.474032881
"128" 1991 498.742778632
"129" 1992 501.851685225
"130" 1993 502.536386576
"131" 1994 502.587923236
"132" 1995 502.676838133
"133" 1996 503.136420554
"134" 1997 503.215424556
"135" 1998 503.297260244
"136" 1999 503.308020647
"137" 2000 503.334355315
"138" 2001 503.456117756
"139" 2002 503.492080151
"140" 2003 503.501424711
"141" 2004 505.889101219
"142" 2005 505.889101219
"143" 2006 505.889101219
"144" 2007 505.892216072
"145" 2008 505.918550738
"146" 2009 505.953663625
"147" 2010 505.953663625
